,,,,,,,,,,,,,,,,,,,,,,
125805,POLYDESMIDA,Holistophallidae,Aff Pammicrophallus,sp,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,4.5 km NW Jct. Rds. Tapalapa/Ocotepec,Shrubby cloud forest litter,27.v.2008,17.18263,,93.11807,-93.11807,,2180,,2008-036 LLAMA CATALOG,
125818,POLYDESMIDA,Holistophallidae,Aff Pammicrophallus,sp,,11/iv/2012,"2__, 1_ juvenile",GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
126048,POLYDESMIDA,Holistophallidae,??,??,,15/iv/2012,several juveniles specimens,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126080,POLYDESMIDA,Holistophallidae,Aff Zuectodesmus,sp,,17/iv/2012,1_,MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
126251,,Oxydesmidae,,,,,_,CAMEROON,Littoral Province,,"Giribet Locality 786: Campo Reserve, South of Grand Batanga",,17.vi.2009,2.801195998,,,9.90418897010385,,50.11,"L. Benavides, G. Chassant, G. Giribet, J. Murienne",,
126252,,Oxydesmidae,Aff. Scytodesmus,sp,,,"2_juv, 4_juv",CAMEROON,Central Province,,"Giribet Locality 770: Ototomo forest, near Ngoumou",,05-vi-2009,3.661955008,,,11.3002490065991,,731.44,"L. Benavides, G. Giribet, G. N. Legrand, J. Murienne",,
133047,,Oxydesmidae,Aff. Oxydesmus,sp,,29/iv/2013,1_,LIBERIA,,,Eastern Mount Nimba,??,13-i-2012,6.75,,,8.75,,??,S. Daniels,,
126258,,Paradoxosomatidae,,,,,_,CAMEROON,Littoral Province,,"Giribet Locality 784: Campo Reserve, South of Grand Batanga",,17.vi.2009,2.863167,2.8631666,,9.8900333,9¡53.402',10,"L. Benavides, G. Chassant, G. Giribet, J. Murienne",,
126265,,Paradoxosomatidae,??,??,100428,,1_,THAILAND,Indochina,Rayong,,??,iv-2001,12.668462,,,101.275503,,,M. K. Nishiguchi,,
126269,,Paradoxosomatidae,??,??,,20/iv/2012,1_,PAPUA NEW GUINEA,Chimbu Province,,"Wara Sera Research Station, Crater Mountain Research Area",??,8 to 13-vii-2001,-6.533333,,,145.133333,,,"Bradler, Jarvis, Svenson",,
129763,,Paradoxosomatidae,Aff. Selminosoma,sp2,,28/iv/2013,"1_ juvenil, 1_",PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
129765,,Paradoxosomatidae,Aff. Selminosoma,sp1,,28/iv/2013,"2__, 1_",PAPUA NEW GUINEA,Madang Province,Madang,Locality 460. Bitabag Reserve,??,28-iii-2006,-5.138694,-5.13869444,,145.7745,"145¡46'28.2""",109,"Ron M. Clouse, Ulai, Nataniel",,
,,Plydesmidae,,,,,1_,USA,North Carolina,Ashe Co.,Mt. Jefferson S. P.,,15-vii-2005,36.40156,36.4015555,,-81.4697222,"-81¡28'11""",,R. Clouse,,
,,Polydesmidae,Polydesmsus?,sp,,,_,ROMANIA,,Valova?,010 Romania,,,,,,,,,,,
81372,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,17/iv/2012,"17__, 29__",MEXICO,Chiapas,MarquŽs de Comillas,13.7 km NW Metzabok,"Wet forest fragment, ex sifted leaf litters, Winkler",2007,17.19051667,,91.73748333,-91.73748333,,540,Longino,JTL 135428 LLAMA CATALOG,
125798,POLYDESMIDA,Pyrgodesmidae,Aff. Myrmecodesmus,sp,,09/iv/2012,2__,MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125820,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,11/iv/2012,2__ juveniles,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
126032,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,12/iv/2012,"2__, __",MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.15342,,93.60078,-93.60078,,1330,,Wa-A-01-2-all LLAMA CATALOG,
126043,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,15/iv/2012,several specimens,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126054,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,16/iv/2012,2__,MEXICO,Chiapas,Salto de Agua,Salto de Agua,"Secondary wet forest, ex sifted leaf litter",16.vi.2007,17.51427,,92.29486,-92.29486,,70,M.G. B.,MGB-871 LLAMA CATALOG,
126055,POLYDESMIDA,Pyrgodesmidae,Aff Lophodesmus,sp,,16/iv/2012,"2__, 6__",MEXICO,Chiapas,Salto de Agua,Salto de Agua,"Secondary wet forest, ex sifted leaf litter",16.vi.2007,17.51427,,92.29486,-92.29486,,70,M.G. B.,MGB-871 LLAMA CATALOG,
126064,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,17/iv/2012,"3__, 3__",MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126072,POLYDESMIDA,Pyrgodesmidae,Aff Lophodesmus,sp,,17/iv/2012,"1_ juvenile, 1_",MEXICO,Chiapas,MarquŽs de Comillas,13.7 km NW Metzabok,"Wet forest fragment, ex sifted leaf litters, Winkler",2007,17.19051667,,91.73748333,-91.73748333,,540,Longino,JTL 135428 LLAMA CATALOG,
126076,POLYDESMIDA,Pyrgodesmidae,Aff Myrmecodesmus,sp,,17/iv/2012,1_ juvenile,MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
128491,1,Rhachodesmidae,Neoleptodesmus,aztecus,,,_,MEXICO,Puebla,Cuetzalan municipality,,,20-II-2012,20.018317,,,-97.522879,,,"Under log. E. Rodr’guez & A.M. Villegas, colls.",,
132752,3,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,Campeche,Carretera a Chichen-Itza.,,,,20.666667,,,-88.566667,,,,JBVMEX-558,
132754,5,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-549,
132755,6,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-549,
132756,7,Rhachodesmidae,,,,,_,MEXICO,QuerŽtaro,,Loc. R’o Moctezuma,,,20.96061,20.960611,,-99.39183333,"-99¡23'30.6""",,,,
132757,9,Rhachodesmidae,Aceratophallus,calcehtokanus,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-573,
132758,10,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-565,
132759,11,Rhachodesmidae,Aceratophallus,calcehtokanus,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-543,
132760,12,Rhachodesmidae,New genus,sp nov Los Tuxtlas,,,_,MEXICO,,,,,,,,,,,,,JBVMEX-574,
132761,14,Rhachodesmidae,,,,,_,MEXICO,QuerŽtaro,,Loc. R’o Moctezuma,Under leaf litter,,20.96061,20.960611,,-99.39183333,"-99¡23'30.6""",,"A. Pintado, col.",,
132764,16,Rhachodesmidae,,,,,_,MEXICO,Hidalgo,Mineral del Monte,National Park El Chico,Oak forest. Under log,06-VII-2008,20.139584,,,-98.674167,,,"J. Bueno-Villegas, coll.",JBVMEX-370,
132765,17,Rhachodesmidae,,,,,_,MEXICO,Chiapas,Uni—n Ju‡rez,"Loc. San Antonio hill, Tacan‡ volcano",Rain forest. Leaf litter,12-VI-2009,17.716667,,,-93.1,,,"J. Bueno-Villegas, coll.",JBVMEX-410a,
132766,18,Rhachodesmidae,,,,,_,MEXICO,Yucat‡n,,Loc. San Juan del R’o,Middle forest. Leaf litter,24-IX-2011,23.480515,,,-104.472689,,,J. Bueno-Villegas,JBVMEX-547,
133036,24,Rhachodesmidae,Strongylodesmus,,,,_,MEXICO,Hidalgo,Omitl‡n,,Oak forest. Leaf litter,30-VI-2008,20.20364,20.2036388,,-98.65963888,"-98¡39«34.7""",2319,J. M‡rquez Luna,,
133037,25,Rhachodesmidae,Strongylodesmus,,,,_,MEXICO,Hidalgo,Eloxochitl‡n,,Oak forest. Under log,09-VI-2008,20.75769,20.7576944,,-98.7676388,"-98¡46«3.5""",1765,J. Bueno-Villegas,JBVMEX-326,
133038,26,Rhachodesmidae,Neoleptodesmus,aztecus,,,_,MEXICO,Hidalgo,El Arenal,Fray Francisco,Oak forest. Leaf litter,18-VI-2009,20.253123,,,-98.862785,,,J. Bueno-Villegas,JBVMEX-423,
133039,27,Rhachodesmidae,,,,,_,MEXICO,Veracruz,Amatl‡n de los Reyes,Ojo de Agua Grande,Inside Atoyac river cave,03-VI-2011,18.92731,18.9273055,,-96.87636111,"-96¡52«34.9""",,J. Bueno-Villegas,JBVMEX-534,
133040,28,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,Yucat‡n,,ChichŽn-Itza ruins,Middle forest. Leaf litter,25-IX-2011,20.67027,,,-88.58472,,,J. Bueno-Villegas,JBVMEX-563,
133041,29,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,Yucat‡n,,ChichŽn-Itza ruins,Middle forest. Leaf litter,25-IX-2011,20.67027,,,-88.58472,,,J. Bueno-Villegas,JBVMEX-563,
133042,30,Rhachodesmidae,Strongylodesmus,,,,_,MEXICO,Hidalgo,Tenango de Doria,Rt. to Santa Mar’a,Disturbed Oak forest. Leaf litter,09-X-2009,20.31561,20.31561111,,-98.21880556,"-98¡13«7.7""",1080,J. Bueno-Villegas,JBVMEX-443,
133043,31,Rhachodesmidae,Aceratophallus,,,,_,MEXICO,Guanajuato,Victoria,Km 32 Rt. to Puerto del Aire,Oak forest. Leaf litter,13-VII-2009,21.3051,21.3051,,-100.1651833,-100¡9.911',,M. Vargas & J. Marquez Luna,,
133044,33,Rhachodesmidae,,,,,_,MEXICO,Puebla,Cuetzalan,,Low deciduous forest. Leaf litter,20-II-2012,20.06455,20.06455,,-97.01783333,-97¡1.070,603,E. Rodr’guez & A.M. Reyes,,
126266,,Rhachodesmidae,Aceratophallus,sp,,,"1_, 2__",MEXICO,Yucat‡n,,Locality 889. Yuccat‡n,??,ix-2011,21.45425,,,-88.16654,,,G. Giribet,,
80032,POLYDESMIDA,Sphaeriodesmidae,Cylionus,aff constrictus,,09/iv/2012,"1_, 2_",MEXICO,Chiapas,Angel Albino Corzo,"Reserva de la Bi—sfera El Triunfo, Campamento El Quetzal",Broadleft oak forest litter,21.v.2008,15.70997,,92.92914,-92.92914,,2180,R. S.A.,2008-026 LLAMA CATALOG,
125800,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,coriaceus,,09/iv/2012,"1_, 3__",MEXICO,Chiapas,MarquŽs de Comillas,Lago Metzabok,lowland wet forest ex sifted leaf litter,5.vi.2008,17.12659,,91.63035,-91.63035,,570,,Wa-A-06-1-all LLAMA CATALOG,
125802,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp,,10/iv/2012,1_,MEXICO,Chiapas,Coapilla,3.5 km NW Jct. Rds. Tapalapa/Ocotepec,"Oak/hardwood forest litter, ex sifted leaf litter",27.v.2008,17.17071,,93.13677,-93.13677,,1970,R. S.A.,2008-035 LLAMA CATALOG,
125809,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,aff longiramus,,10/iv/2012,1_ (just diplosegments 4th to 10th),MEXICO,Chiapas,MarquŽs de Comillas,Play—n de la Gloria,"Mature wet forest, ex sifted leaf litter",24.vi.2008,16.16036,,90.90148,-90.90148,,160,,Wa-A-09-1-all LLAMA CATALOG,
125817,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp nov,,11/iv/2012,1_,GUATEMALA,San Marcos,,Road Bojonal-Fraternidad,Cloud forest,11.ix.2008,14.94533,,91.88038,-91.88038,,1580,,RSA 2008-107 LLAMA CATALOG,
126034,POLYDESMIDA,Sphaeriodesmidae,Cylionus,aff constrictus,,12/iv/2012,2__,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.15342,,93.60078,-93.60078,,1330,,Wa-A-01-2-all LLAMA CATALOG,
126051,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp nov,,15/iv/2012,1_,MEXICO,Chiapas,,Sierra Morena,"Secondary mesophil forest, ex sifted leaf litter",12.v.2008,16.16001,,93.60519,-93.60519,,1360,,Wa-A-01-1-all LLAMA CATALOG,
126067,POLYDESMIDA,Sphaeriodesmidae,Aff Cylionus,sp,,17/iv/2012,several juveniles specimens,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126068,POLYDESMIDA,Sphaeriodesmidae,Sphaeriodesmus,sp,,17/iv/2012,1 juvenile,MEXICO,Chiapas,Salto de Agua,8 km SE Salto de Agua,"Secondary wet forest, ex sifted leaf litter",14.vi.2008,17.51592,,92.30231,-92.30231,,100,,Wa-A-08-2-all LLAMA CATALOG,
126075,POLYDESMIDA,Sphaeriodesmidae,Aff Cylionus,sp,,17/iv/2012,4__ juveniles,MEXICO,Chiapas,San Cristobal de la Casas,Reserva Huitepec,"Under pines, cloud forest edge. Winkler ex sifted leaf letter",11.vii-2007,16.74476667,,92.6885333,-92.6885333,,2600,Longino,Coll. Code: JTL 6037-s; Specimen code: JTL-135427 LLAMA,
133031,19,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Hidalgo,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-394,
133032,20,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Hidalgo,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-393,
133033,21,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,Chiapas,Uni—n Ju‡rez,"Loc. San Antonio hill, Tacan‡ volcano",Rain forest. Leaf litter,12-VI-2009,17.716667,,,-93.1,,,J. Bueno-Villegas,JBVMEX-411a,
133034,22,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,MŽxico,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-389,
133035,23,Xystodesmidae,Rhysodesmus,,,,_,MEXICO,MŽxico,Mineral de la Reforma,El Zopilote hill,Xerophitic vegetation. Under cactus leaf,31-V-2009,20.08402,20.08402222,,-98.72688888,"-98¡43«36.8""",2370,J. M‡rquez Luna,JBVMEX-390,
126263,,Xystodesmidae,,,,,1_,USA,North Carolina,Ashe Co.,Mt. Jefferson S. P.,,15-vii-2005,36.40156,36.4015555,,-81.4697222,"-81¡28'11""",,R. Clouse,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,